burrowcount_perm2,liveveg_percentcover,yline,upperCI,lowerCI
12,3,93.65183659,104.5920153,82.71165784
20,2,94.93231225,105.872491,83.9921335
24,2,94.93231225,105.872491,83.9921335
32,1,96.2127879,107.1529667,85.27260915
36,3,93.65183659,104.5920153,82.71165784
44,4,92.37136093,103.3115397,81.43118218
44,1,96.2127879,107.1529667,85.27260915
48,2,94.93231225,105.872491,83.9921335
56,6,89.81040962,100.7505884,78.87023087
60,5,91.09088527,102.031064,80.15070653
68,20,71.88375042,82.82392917,60.94357167
0,60,20.66472414,31.60490288,9.724545388
0,5,91.09088527,102.031064,80.15070653
0,0.5,96.85302573,107.7932045,85.91284698
0,35,52.67661556,63.61679431,41.73643681
0,60,20.66472414,31.60490288,9.724545388
0,35,52.67661556,63.61679431,41.73643681
8,45,39.87185899,50.81203774,28.93168024
16,35,52.67661556,63.61679431,41.73643681
16,50,33.46948071,44.40965946,22.52930196
20,60,20.66472414,31.60490288,9.724545388
20,25,65.48137213,76.42155088,54.54119338
0,70,7.859967566,18.80014631,-3.080211183
4,60,20.66472414,31.60490288,9.724545388
4,70,7.859967566,18.80014631,-3.080211183
8,25,65.48137213,76.42155088,54.54119338
8,65,14.26234585,25.2025246,3.322167103
8,40,46.27423728,57.21441603,35.33405853
8,60,20.66472414,31.60490288,9.724545388
12,70,7.859967566,18.80014631,-3.080211183
16,50,33.46948071,44.40965946,22.52930196
20,50,33.46948071,44.40965946,22.52930196
24,45,39.87185899,50.81203774,28.93168024
24,12,82.12755568,93.06773442,71.18737693
40,20,71.88375042,82.82392917,60.94357167
48,15,78.2861287,89.22630745,67.34594996
48,10,84.68850699,95.62868574,73.74832824
64,15,78.2861287,89.22630745,67.34594996
64,5,91.09088527,102.031064,80.15070653
72,15,78.2861287,89.22630745,67.34594996
72,15,78.2861287,89.22630745,67.34594996
84,15,78.2861287,89.22630745,67.34594996
124,25,65.48137213,76.42155088,54.54119338
20,35,52.67661556,63.61679431,41.73643681
28,55,27.06710242,38.00728117,16.12692367
28,40,46.27423728,57.21441603,35.33405853
32,40,46.27423728,57.21441603,35.33405853
32,35,52.67661556,63.61679431,41.73643681
36,30,59.07899385,70.0191726,48.1388151
60,30,59.07899385,70.0191726,48.1388151
88,50,33.46948071,44.40965946,22.52930196
96,20,71.88375042,82.82392917,60.94357167
140,30,59.07899385,70.0191726,48.1388151
76,35,52.67661556,63.61679431,41.73643681
104,30,59.07899385,70.0191726,48.1388151
108,5,91.09088527,102.031064,80.15070653
112,15,78.2861287,89.22630745,67.34594996
160,30,59.07899385,70.0191726,48.1388151
172,30,59.07899385,70.0191726,48.1388151
188,12,82.12755568,93.06773442,71.18737693
196,25,65.48137213,76.42155088,54.54119338
208,20,71.88375042,82.82392917,60.94357167
224,15,78.2861287,89.22630745,67.34594996
112,75,1.457589281,12.39776803,-9.482589468
128,15,78.2861287,89.22630745,67.34594996
172,10,84.68850699,95.62868574,73.74832824
180,15,78.2861287,89.22630745,67.34594996
0,75,1.457589281,12.39776803,-9.482589468
0,75,1.457589281,12.39776803,-9.482589468
0,60,20.66472414,31.60490288,9.724545388
0,70,7.859967566,18.80014631,-3.080211183
0,75,1.457589281,12.39776803,-9.482589468
0,80,-4.944789005,5.995389744,-15.88496775
0,20,71.88375042,82.82392917,60.94357167
4,75,1.457589281,12.39776803,-9.482589468
8,25,65.48137213,76.42155088,54.54119338
8,40,46.27423728,57.21441603,35.33405853
0,20,71.88375042,82.82392917,60.94357167
0,50,33.46948071,44.40965946,22.52930196
0,8,87.2494583,98.18963705,76.30927955
0,25,65.48137213,76.42155088,54.54119338
0,30,59.07899385,70.0191726,48.1388151
0,30,59.07899385,70.0191726,48.1388151
0,80,-4.944789005,5.995389744,-15.88496775
0,90,-17.74954558,-6.809366827,-28.68972432
0,75,1.457589281,12.39776803,-9.482589468
4,40,46.27423728,57.21441603,35.33405853
0,70,7.859967566,18.80014631,-3.080211183
0,65,14.26234585,25.2025246,3.322167103
0,50,33.46948071,44.40965946,22.52930196
0,35,52.67661556,63.61679431,41.73643681
4,75,1.457589281,12.39776803,-9.482589468
8,10,84.68850699,95.62868574,73.74832824
0,55,27.06710242,38.00728117,16.12692367
0,65,14.26234585,25.2025246,3.322167103
0,45,39.87185899,50.81203774,28.93168024
4,70,7.859967566,18.80014631,-3.080211183
8,50,33.46948071,44.40965946,22.52930196
8,25,65.48137213,76.42155088,54.54119338
28,35,52.67661556,63.61679431,41.73643681
104,8,87.2494583,98.18963705,76.30927955
116,10,84.68850699,95.62868574,73.74832824
136,5,91.09088527,102.031064,80.15070653
140,5,91.09088527,102.031064,80.15070653
160,15,78.2861287,89.22630745,67.34594996
168,15,78.2861287,89.22630745,67.34594996
172,10,84.68850699,95.62868574,73.74832824
192,10,84.68850699,95.62868574,73.74832824
240,10,84.68850699,95.62868574,73.74832824
24,10,84.68850699,95.62868574,73.74832824
36,15,78.2861287,89.22630745,67.34594996
36,5,91.09088527,102.031064,80.15070653
52,20,71.88375042,82.82392917,60.94357167
52,20,71.88375042,82.82392917,60.94357167
64,20,71.88375042,82.82392917,60.94357167
68,2,94.93231225,105.872491,83.9921335
80,20,71.88375042,82.82392917,60.94357167
136,25,65.48137213,76.42155088,54.54119338
144,15,78.2861287,89.22630745,67.34594996
200,20,71.88375042,82.82392917,60.94357167
228,20,71.88375042,82.82392917,60.94357167
284,25,65.48137213,76.42155088,54.54119338
