date,exclosure12.2,exclosure12.4,exclosure12.6,exclosure13.2,exclosure13.4,exclosure13.6
2019-06-26,2,2,,1,1,74
2019-06-27,23,6,5,36,12,74
2019-06-28,133,56,25,34,14,82
2019-06-30,16,7,0,8,1,7
2019-07-01,24,13,16,26,9,17
2019-07-03,50,12,37,58,12,27
2019-07-05,6,5,2,19,2,17
2019-07-08,25,10,7,14,1,35
2019-07-09,14,32,14,44,6,30
2019-07-10,32,17,15,60,15,36
2019-07-11,4,1,1,3,1,2
2019-07-13,0,1,0,23,0,8
2019-07-14,0,1,0,26,0,8
2019-07-15,4,3,3,8,1,11
2019-07-16,6,0,3,7,2,3
2019-07-19,2,0,0,0,1,2
2019-07-22,13,5,3,16,2,3
2019-07-24,0,4,0,0,1,0
2019-07-26,1,0,0,2,0,0
2019-07-29,4,3,0,5,1,3
2019-07-30,2,0,0,6,3,5
2019-08-01,4,0,1,9,1,3
2019-08-06,3,0,0,5,0,4
2019-08-09,2,4,3,11,2,4
2019-08-13,3,1,0,8,2,3
2019-08-16,2,1,0,8,3,5
2019-08-23,0,0,0,0,0,0
2019-08-26,1,0,0,4,0,3
2019-09-03,2,1,1,10,3,6
