site,plot,subplot,treatment,spal,suaeda,salicornia,disp,iva,sppa,syte,atriplex,solidago,lina,bare,dead,wrack,forbs
12,2,1,crab exclusion,16.5,0,17,9,-0.1,14,0,0,-0.5,0,-8,-48,0,-0.5
12,2,2,crab exclusion,11.5,0.5,11.5,11.5,0,31,2,0,0,0,-13,-58,3,2
12,2,3,crab exclusion,7,0,32,1,0,23,0,0,0,0,-8,-55,0,0
12,2,4,crab exclusion,-1,0,6.5,-11,0,73,0,0,0,0,-4,-55.5,-8,0
12,2,5,crab exclusion,18,0,0,10,4,29,0,0,0,0,-0.5,-43.5,-17,0
12,2,6,crab exclusion,2.5,39.5,0,5,2,2,0,0,0,0,-2,-77,28,0
12,2,7,crab exclusion,9.5,39.5,1,-3,14,5,0,0,0,0,-6,-43,-17,0
12,2,8,crab exclusion,20,4,0.1,14,15,4.9,0,0,0,0,2,-70,10,0
12,2,9,crab exclusion,9.5,5,0,5,2.5,12,0,0,0,0,10,-32,-12,0
12,2,10,crab exclusion,4,3,4.1,20,2,8,0,0,0,0,13,-28,-26,0
12,2,11,crab exclusion,15,5,0,20,15,10,0,0,0,0,-1,-51,-13,0
12,2,12,crab exclusion,8,0,7,8,0,35,0,0,0,0,-10,-25,-23,0
12,2,13,crab exclusion,12,0,-3,30,0,16,0,0,0,0,0,-57,2,0
12,2,14,crab exclusion,18,0,10.5,7,0,19.9,1,0,-0.5,0,-7,-48,-1,0.5
12,2,15,crab exclusion,16,0,6,25,0,14,1,0,-1,0,3,-64,0,0
12,2,16,crab exclusion,0,0,10,13,0,7.9,0,0,0,0,5,-33,-3,0
12,2,17,crab exclusion,-15,0,12,12,0,13,0,0,0,0,3,-28,3,0
12,2,18,crab exclusion,-10,0,24,5,0,8,0,0,0,0,-4,-23,0,0
12,2,19,crab exclusion,-2,0,11,13,0,11.9,0,0,-1,0,0,-30,-3,-1
12,2,20,crab exclusion,-3,0,10,8,0,9,0,0,-0.1,0,7,-31,0,-0.1
12,4,1,crab exclusion,-10.5,-1,0,-21.5,0,-5,0,-2,0,0,-23,-30,93,-2
12,4,2,crab exclusion,4,0,-0.5,15,-9,2.4,0,0,0,0,-15.5,-17.5,21,0
